WORD	Rating
sepikoda	8.6
nibu	8.6
kartulikuubik	8.599
graniitsõelmed	8.599
tšillipulber	8.598
käsitugi	8.598
habe	8.598
peosaal	8.597
metso	8.597
heeringas	8.597
mänd	8.596
mustikas	8.595
kokteilsalat	8.595
grillitu	8.595
controvento	8.595
tüümian	8.594
sünnipäevatort	8.594
seakarbonaad	8.594
projektor	8.594
juhiiste	8.594
auruvedur	8.594
rula	8.593
martsipanikujuke	8.593
basturm	8.593
lilleseeme	8.592
suitsuvorst	8.591
pauliina	8.591
mädarõigas	8.591
ujumislaud	8.59
tursamaks	8.59
prügikonteiner	8.59
mööblidetail	8.59
lambahakkliha	8.59
istik	8.59
pune	8.588
mustika	8.588
muretainas	8.588
morsk	8.588
veiniklaas	8.587
pudel	8.587
krediitkaart	8.586
keedusink	8.586
avokaado	8.586
talvesaabas	8.585
pargipink	8.585
husky	8.585
tetsmann	8.584
linnumaja	8.584
kuusepuu	8.584
sellerivars	8.583
kruubipuder	8.583
kajut	8.583
broilerifilee	8.583
kuldrenett	8.582
kirsimoos	8.582
vihik	8.581
panasonic	8.581
kibuvitsamari	8.581
valmik	8.58
rindu	8.58
pahkluu	8.58
paabulind	8.58
laudlina	8.58
jääsalat	8.58
rumbat	8.578
löökriist	8.578
jahuveski	8.578
piim	8.577
känd	8.577
astri	8.577
tuhatoos	8.576
toolijalg	8.576
puu	8.576
presskannukohv	8.576
petersell	8.576
kondoom	8.576
peitel	8.575
laptop-arvuti	8.575
vareenik	8.574
tuunikalasalat	8.574
piljardisaal	8.574
pass	8.574
kontpuu	8.572
ilvesenahk	8.572
viigipuu	8.571
piraaja	8.571
paprikapulber	8.571
lagi	8.571
botas	8.571
välisvalgusti	8.57
pelikan	8.57
kirsikompott	8.57
hiireviu	8.57
fotovarustus	8.57
autovõti	8.57
klaviatuur	8.569
õpik	8.568
häbememokk	8.568
gorilla	8.568
angoora	8.568
vedelseep	8.567
riivleib	8.567
mandoliin	8.567
lühter	8.567
kesik	8.567
kanapuljong	8.567
kanafilee	8.567
ilutulestikurakett	8.567
espressokohv	8.567
dresiin	8.567
seafilee	8.566
kontoriuks	8.566
diskoteek	8.566
betoon	8.566
sigaret	8.565
nisutera	8.565
hortes	8.565
colosseum	8.565
salatikarp	8.564
parmesan	8.564
kurvasilmne	8.564
kõrvitsasalat	8.564
kakaouba	8.564
eravärv	8.564
zaporožets	8.563
sein	8.563
lõikeõis	8.563
lambanahk	8.563
külmsuitsulõhe	8.563
vinn	8.562
veeboiler	8.562
pangaautomaat	8.562
kimalane	8.562
huulhein	8.562
tuunikalakonserv	8.561
lumepuder	8.561
keedupeet	8.561
võimla	8.56
raagritsikas	8.56
mänguauto	8.56
koogiretsept	8.56
voodi	8.559
tualettseep	8.559
tõstuk	8.559
tagaiste	8.559
kuld	8.559
vääriskivi	8.558
surmaratas	8.558
kulm	8.558
kenwoo	8.558
squashi	8.557
nina	8.557
küüslaugusool	8.557
vanilliplombiir	8.555
turvavöö	8.555
ratastool	8.555
rabarber	8.555
paat	8.555
kinnas	8.555
jäämägi	8.555
delfiin	8.555
aiakäru	8.555
tuba	8.554
tool	8.554
töökoda	8.554
spordisuss	8.554
siidiuss	8.554
lambaribi	8.554
tagliatelle	8.553
spinner	8.553
karpkala	8.553
hunt	8.553
baranova	8.553
sarapuupähkel	8.552
liir	8.552
jooksususs	8.552
puutöökoda	8.551
porrulauk	8.551
liiv	8.551
siil	8.55
õlakott	8.549
laevatehas	8.549
ingver	8.549
pulgakomm	8.548
pomm	8.548
paadisadam	8.548
trepikoda	8.547
patrullauto	8.547
palsamiäädikas	8.547
klaasvitraaž	8.547
mootorsaag	8.545
metrootunnel	8.545
dušisegisti	8.545
tuuleveski	8.544
nätsukomm	8.544
musträstas	8.544
meritäht	8.544
kööme	8.544
kaheksajalg	8.543
suitsurääbis	8.542
ripsmetušš	8.542
pusle	8.541
mugulsibul	8.541
leica	8.541
võtmerõngas	8.54
taburet	8.54
suitsulõhe	8.54
spordisärk	8.54
postrei	8.54
päevakübar	8.54
juust	8.54
büst	8.54
rotipoeg	8.538
pokaal	8.538
seeme	8.537
laelamp	8.537
kuuseoks	8.537
soolapulk	8.536
muruniiduk	8.536
kombinesoon	8.536
fend	8.536
telling	8.535
soolajärv	8.535
nafta	8.535
laevuke	8.535
koi	8.535
veskioja	8.534
nokamüts	8.534
helkurvest	8.534
graniit	8.534
välikohvik	8.533
sõrmejälg	8.533
riivjuust	8.533
pimesool	8.533
jope	8.533
makkraadio	8.532
kirjutusvahend	8.532
seakont	8.531
saloon	8.531
sigar	8.53
sibularõngas	8.53
saapapaar	8.53
arvutiklahv	8.53
paprikakaun	8.529
mõmmi	8.529
lõhnaõli	8.529
latv	8.529
kullerkupu	8.529
jõulupuu	8.529
huvilend	8.529
amfora	8.529
varvassokk	8.528
nui	8.528
jõulukaart	8.528
automaadipadrun	8.528
marmor	8.527
hakitu	8.527
tikker	8.526
ämber	8.526
plastmasskuusk	8.525
pekkaniska	8.525
kuuldetoru	8.525
hambaravitool	8.525
sajadollariline	8.524
muusikariist	8.524
aedmaasikas	8.524
röövik	8.522
piparkoogimaja	8.522
lestakala	8.522
keldriboks	8.522
hobuseraud	8.522
alakõht	8.522
vöö	8.521
veinimõis	8.521
pitsaahi	8.521
metallkarp	8.521
meliss	8.521
lumi	8.521
kohafilee	8.521
karusmari	8.521
valamu	8.52
tahavaatepeegel	8.52
ranne	8.52
piknikukorv	8.52
kakaopulber	8.52
värviteleviisor	8.519
sõrmus	8.519
rohi	8.519
nõudepesumasin	8.519
laut	8.519
kuubik	8.519
kreemituub	8.519
suunatuli	8.518
raidoja	8.518
harf	8.518
merikeel	8.517
rööbas	8.516
koriander	8.516
jaanimardikas	8.516
hein	8.516
supikont	8.515
leelisevaba	8.515
komm	8.515
chupa-chups	8.515
arvutiekraan	8.515
vaal	8.514
terastross	8.514
pluus	8.514
lossipark	8.514
kondenspiim	8.514
everlasti	8.514
teatritehnika	8.513
stange	8.513
põlveõnnal	8.513
mõõk	8.513
kõrsik	8.513
hiir	8.513
süntesaator	8.512
skalpell	8.512
gong	8.512
ülikond	8.511
sipelgas	8.511
rubiin	8.511
pinal	8.511
kuusepalk	8.511
kaardipakk	8.511
viineripirukas	8.51
ülakeha	8.51
mäesuusavarustus	8.51
kookoshelves	8.51
kaabu	8.51
jüriso	8.51
viigimari	8.509
ühissõiduk	8.509
teatrisaal	8.509
riisuma	8.509
potilill	8.509
makett	8.509
kanuu	8.509
võtmekimp	8.508
süütenöör	8.508
sõrmeots	8.508
mööblimaja	8.508
keraamikatöökoda	8.508
kartulisalat	8.508
bierstube	8.508
ahvike	8.508
peakate	8.507
riisikott	8.505
plastikaatkott	8.505
õlavars	8.505
nunn	8.504
naftapuurtorn	8.504
kardinapuu	8.504
emane	8.504
müsli	8.503
bussijaam	8.503
vesiroos	8.502
sünt	8.501
mukk	8.501
kontrabass	8.501
võikiht	8.5
uss	8.5
rangluu	8.5
külasepp	8.5
piison	8.499
orangutan	8.499
terariist	8.498
soolauba	8.498
seljatugi	8.498
roe	8.498
kõrvaklapp	8.498
kala	8.498
hallvares	8.498
tuun	8.497
tanguvorst	8.497
pulmarong	8.497
lauakell	8.497
kuul	8.497
formo	8.497
kupong	8.496
mängumaja	8.495
vahetusjalats	8.494
laulurühm	8.494
järvakandi	8.494
haav	8.494
vehklemisliit	8.493
vannilina	8.493
sojakaste	8.493
killustik	8.493
kaubamaja	8.493
pingirida	8.492
pingipill	8.492
ookean	8.492
minibuss	8.492
soojak	8.491
pakk	8.491
nööbitav	8.491
kodujuust	8.491
känguru	8.491
jeti	8.491
bussitalong	8.491
smoking	8.49
sisetasku	8.49
bambus	8.49
aed	8.49
šampoonipudel	8.488
petanque	8.488
kunstjalg	8.488
grislikaru	8.488
brauning	8.488
apelsinikoor	8.488
mošee	8.487
merikajakas	8.487
ladvaoks	8.487
show-trupp	8.486
pesu	8.486
ninasarvik	8.486
lammi	8.486
köögiaken	8.486
kalmaar	8.486
sigala	8.485
põlduba	8.485
lumesahk	8.485
kada	8.485
hapukoor	8.485
veepudel	8.484
söögimaja	8.484
sebra	8.484
pintsel	8.484
lays	8.484
kastmisauto	8.484
kängurupoeg	8.484
reieluu	8.483
porgandimahl	8.483
munanuudel	8.483
hut	8.483
guašš	8.483
veinipudel	8.482
okassiga	8.482
kiirrong	8.482
hiidkilpkonn	8.482
grillribi	8.482
viljapeksumasin	8.481
tahvel	8.481
suvinisu	8.481
paberilipik	8.481
õmblusmasin	8.481
koer	8.481
kassasahtel	8.481
tshilli	8.48
sunset	8.48
sõõrik	8.48
savijalake	8.48
mäemassiiv	8.48
fotopood	8.48
videomäng	8.479
teemantsõrmus	8.479
klaas	8.479
troopikataim	8.478
sealiha	8.478
õlikook	8.478
nael	8.478
meri	8.478
veinipood	8.477
telefoniaparaat	8.477
taskumärkmik	8.477
raadiomast	8.477
kodarluu	8.477
kivi	8.477
digitaalfotoaparaat	8.477
merevetikas	8.476
huulik	8.476
hõbekett	8.476
glaskek	8.476
autoklaas	8.476
ruupia	8.475
laululava	8.475
kand	8.475
muskaat	8.474
linaseeme	8.474
liivi	8.474
kringel	8.474
klahvpill	8.474
alkomeeter	8.474
soola-pipar	8.473
polosärk	8.473
noaotsatäis	8.473
lumelaud	8.473
lõug	8.473
sojakast	8.471
mikrouun	8.471
metall	8.471
kirjakast	8.471
emakala	8.471
arestimaja	8.471
uks	8.47
suusahüppetorn	8.47
soolaseen	8.47
plastikpaat	8.47
luksusjaht	8.47
kohviaparaat	8.47
kehamaaling	8.47
karikakar	8.47
hüään	8.47
tuhksuhkur	8.469
jõhvikas	8.469
ambla	8.469
vormimüts	8.468
pronkskuju	8.468
nuikapsas	8.468
kaerajahu	8.468
jõulupraad	8.468
hobune	8.467
flipper	8.467
apelsinikaste	8.467
skulptuur	8.466
säästumarket	8.466
meepurk	8.466
lõhnavesi	8.466
kuldsõrmus	8.466
köögimasin	8.466
kõlakoda	8.466
kaseviht	8.466
pildiraamat	8.465
krevetisupp	8.465
kõrvaliste	8.465
kaka	8.465
elektriradiaator	8.465
õhtukleit	8.464
maamiin	8.464
krossitsikkel	8.464
kadarbik	8.464
eljand	8.464
veri	8.463
sinimets	8.463
roopill	8.463
rand	8.463
koolibri	8.463
kondoomipakk	8.463
käterätt	8.463
briljant	8.463
telefon	8.462
sõrmkinnas	8.462
pitskruvi	8.462
peugeot	8.462
sissepääsupilet	8.461
rõduäär	8.461
mõisahoone	8.461
buddha	8.461
sidrunikoor	8.46
rõivakauplus	8.46
pori	8.46
kalapuljongikuubik	8.46
alpid	8.46
tera	8.459
õllekas	8.459
kleepeka	8.459
canarial	8.459
vahukoor	8.458
ööklubi	8.458
kausike	8.458
põldmari	8.457
lasteeine	8.457
naaritsanahkne	8.455
metalltoru	8.455
küünelakk	8.455
kõrvatropp	8.455
veinibaar	8.454
praetükk	8.454
pakkepaber	8.454
krookus	8.454
kaev	8.454
eela	8.454
bassein	8.454
liiklusmärk	8.453
vatitekk	8.452
tšillikaste	8.452
palmipuu	8.452
mesilane	8.452
üheksakorruseline	8.451
trepp	8.451
poni	8.451
pihuarvuti	8.451
pastakas	8.451
kaubaauto	8.451
tikksaag	8.45
termos	8.45
terjer	8.45
santehnika	8.45
rõdu	8.45
liinibuss	8.45
labakinnas	8.45
kuivpärm	8.45
riideese	8.449
muskaatpähkel	8.449
muscat	8.449
mootorsaak	8.449
liivakast	8.449
lainer	8.449
kurgisalat	8.449
vineer	8.448
tempura	8.448
muruseeme	8.448
taskuarvuti	8.447
parandzhaa	8.447
mast	8.447
kobra	8.447
trikoo	8.446
spinat	8.446
sara	8.446
argentinosaurus	8.446
joonistus	8.445
hingetoru	8.445
harmoonium	8.445
välitualett	8.444
optima	8.444
nari	8.444
lammas	8.444
katuseplekk	8.444
torrente	8.443
seasink	8.443
petuunia	8.443
munavõi	8.443
kress-salat	8.443
kanarind	8.443
hiireauk	8.443
hennessy	8.443
graniitliiv	8.443
alasi	8.443
orel	8.442
lauavirn	8.442
lambavill	8.442
helkur	8.442
fotoka	8.442
ateljee	8.442
segasalat	8.441
deltaplaan	8.441
vaateratas	8.44
tofu	8.44
tass	8.44
staabiveebel	8.44
rumm	8.44
pesukomplekt	8.44
tütretirts	8.438
sapakas	8.438
jäätis	8.438
hõbelusikas	8.438
11/2	8.438
ranits	8.437
põllumajandusosaühing	8.437
nokkloom	8.437
kummipaat	8.437
kuldpaber	8.437
