id;class;avg;sentence;particle;verb;unigrams;all;nounsabs;subjabs;objabs;subjcase;objcase;objanimacy;subjanimacy;casegovernment;advfreq;vfreq;pvfreq
26;non-literal;4;'eesti päevaleht kirjutama see kaks käsi alla';alla;kirjutama;non-literal;4.86;5.59;7.16;0;nom;noobj;0;yes;all;63131;143849;12818
27;non-literal;4;'soovija saama palvekiri alla kirjutama';alla;kirjutama;non-literal;3.66;4.29;3.44;0;nom;noobj;0;yes;all;63131;143849;12818
28;non-literal;4;'11. detsember 1992 kirjutama peaminister mart laar alla pressiteade mis kohe ka ilmuma';alla;kirjutama;non-literal;4.36;5.78;6.82;0;nom;noobj;0;yes;all;63131;143849;12818
29;non-literal;4;'kolm võistkond ei olema alla kirjutama concorde leping';alla;kirjutama;non-literal;4.29;5.5;6.89;0;nom;noobj;0;yes;all;63131;143849;12818
30;non-literal;4.33;'lugu olema hea ja rõõm olema valmis see ise alla kirjutama';alla;kirjutama;non-literal;2.33;3.04;1.91;0;nom;noobj;0;yes;all;63131;143849;12818
31;non-literal;4;'kirglik suitsetaja ei andma niisama lihtsalt välja tubakatarvitamine vastane käskkiri see pahe vastane aga kirjutama keeld alla kerge süda';alla;kirjutama;non-literal;2.86;4.1;3.22;0;nom;noobj;0;yes;all;63131;143849;12818
32;non-literal;4;'tema ei tahtma minema vanadekodu sellepärast kirjutama testament alla';alla;kirjutama;non-literal;3.51;6.38;3.27;0;nom;noobj;0;yes;all;63131;143849;12818
33;non-literal;4;'tema vaimne võime jääma enamasti alla füüsiline';alla;jääma;non-literal;2.38;1.21;1.21;0;nom;noobj;0;no;all;63131;390451;10875
34;non-literal;5;'ometi ei jääma tema elu alla ja see ehk eelkõige tänu autor tahe';alla;jääma;non-literal;2.23;3.42;3.27;0;nom;noobj;0;yes;all;63131;390451;10875
35;non-literal;4;'tallinn esinduskoht kippuma alla jääma tartu ja pärnu oma';alla;jääma;non-literal;3.58;4.56;2.92;0;nom;noobj;0;no;all;63131;390451;10875
36;non-literal;5;'pühapäev jääma alla tšehhi b-koondis eile kreeka';alla;jääma;non-literal;4.83;5.86;0;0;nosubj;noobj;0;0;all;63131;390451;10875
37;non-literal;4;'tehniline mõte jääma marie under kalju kangur kõvasti alla';alla;jääma;non-literal;4.31;5.82;6.08;0;nom;noobj;0;yes;all;63131;390451;10875
38;non-literal;4;'ingmar pappel hinnang ei jääma tema looma programm lääs analoog alla';alla;jääma;non-literal;3.71;4.6;5.37;0;nom;noobj;0;no;all;63131;390451;10875
39;non-literal;4.67;'keskmine palgatõus jääma see näitaja siiski alla';alla;jääma;non-literal;2.5;2.68;3.2;0;nom;noobj;0;no;all;63131;390451;10875
40;non-literal;4;'siiski jääma tulemus alla lähis-ida';alla;jääma;non-literal;2.43;2.41;2.02;0;nom;noobj;0;no;all;63131;390451;10875
41;non-literal;4.67;'setu puskar ei jääma kvaliteet burgundia elsass või itaalia jook miski poolest alla';alla;jääma;non-literal;4.91;6.2;7.98;0;nom;noobj;0;no;all;63131;390451;10875
42;non-literal;4.67;'see olema endine alluv kes töötempo ja tema nõudmine alla jääma ja lahkuma pidama';alla;jääma;non-literal;2.49;2.93;1.42;0;nom;noobj;0;yes;all;63131;390451;10875
43;non-literal;4;'kiire rada aga jääma yaris kolmandik võrra võimsam golf kindlalt alla';alla;jääma;non-literal;4.04;6.83;7.8;0;nom;noobj;0;no;all;63131;390451;10875
44;non-literal;5;'siia lisanduma muidugi nn kujundustasu mis tavaliselt alt minema';alt;minema;non-literal;2.26;0;0;0;nosubj;noobj;0;0;kom;4491;395921;652
45;non-literal;5;'täiesti alt minema 8 möödalask tegema venemaa ja norra';alt;minema;non-literal;2.91;3.03;2.91;0;nom;noobj;0;yes;0;4491;395921;652
46;non-literal;5;'100 m vabaujumine ei ületama tema ise kuid ei minema ka alt';alt;minema;non-literal;3.25;6.5;3.27;0;nom;noobj;0;yes;0;4491;395921;652
47;non-literal;5;'arhiiv kasutamine viitama seegi et kirna kalme minema aardekütt alt';alt;minema;non-literal;4.35;6.12;6.97;0;nom;noobj;0;yes;kom;4491;395921;652
48;non-literal;5;'lugema ja soovitama mõtlema dramatiseering peale et mitte alt minema';alt;minema;non-literal;2.81;4.82;0;0;nosubj;noobj;0;0;0;4491;395921;652
49;non-literal;5;'orrison ja massei oma ema kodu peavari pakkuma tarmo urb möönama et minema alt';alt;minema;non-literal;4.19;6.15;7.14;0;nom;noobj;0;yes;0;4491;395921;652
50;non-literal;5;'see-eest lülitiplokk paigutamine olema põhjalikult alt minema';alt;minema;non-literal;2.38;2.28;0;0;nosubj;noobj;0;0;kom;4491;395921;652
58;non-literal;3.67;'neljandik laps jõudma kool rahuldavalt edasi vaid siis kui see kodu toetama';edasi;jõudma;non-literal;3.41;6.15;2.62;0;nom;noobj;0;yes;in;81947;182398;999
59;literal;1.33;'ussripik sattuma hammas olema jõudma edasi sool';edasi;jõudma;non-literal;4.47;8.49;8.91;0;nom;noobj;0;no;0;81947;182398;999
60;non-literal;3.67;'elu jõudma paremini edasi see kes viitsima ebameeldiv asi tegelema';edasi;jõudma;non-literal;2.25;2.72;2.13;0;nom;noobj;0;yes;in;81947;182398;999
61;non-literal;3.67;'jõudma vabrik ikka edasi kuni maanduma direktor kabinet';edasi;jõudma;non-literal;4.57;7.51;3.27;0;nom;noobj;0;yes;in;81947;182398;999
62;non-literal;3.67;'pettus ja kurjus ei aitama edasi jõudma';edasi;jõudma;non-literal;1.96;1.18;0;0;nosubj;noobj;0;0;0;81947;182398;999
63;non-literal;3.67;'kas olema see põhjus sageli maania kasvav iha välja rabelema edasi jõudma ise tulevik vastu kindlustama';edasi;jõudma;non-literal;1.93;1.49;0;0;nosubj;noobj;0;0;0;81947;182398;999
64;non-literal;3.67;'nii et kes vähegi tahtma elus edasi jõuda minema vene kool';edasi;jõudma;non-literal;2.83;4.61;0;0;nosubj;noobj;0;0;in;81947;182398;999
65;non-literal;3.67;'kui tahtma elu edasi jõudma loobuma habe';edasi;jõudma;non-literal;2.93;5.22;3.02;0;nom;noobj;0;yes;in;81947;182398;999
66;literal;1.33;'tänu kergus ja hea juhitavus olema tema auto võimalik väga kiiresti edasi jõudma';edasi;jõudma;non-literal;2.44;4.14;0;0;nosubj;noobj;0;0;0;81947;182398;999
67;non-literal;3.67;'loodetavasti olema jõudma kõvasti edasi ja automaatsüsteem kasutama laialdaselt';edasi;jõudma;non-literal;2.33;5.58;1.91;0;nom;noobj;0;yes;0;81947;182398;999
68;non-literal;3;'too asjaolu omakorda tõukama süvitsi minev loomeinimene kirik eemale';eemale;tõukama;non-literal;3.44;3.92;1.25;4.2;nom;part;yes;no;el;9258;4235;221
69;literal;0;'naine olema himur mees eemale tõukama too olema istuma diivan';eemale;tõukama;non-literal;4.65;6.42;7.5;7.31;nom;gen;yes;yes;0;9258;4235;221
70;non-literal;3;'lääs tervik pidama venemaa kaasa haarama mitte eemale tõukama olema london seisukoht';eemale;tõukama;non-literal;3.03;3.5;4.15;2.91;nom;part;yes;yes;0;9258;4235;221
71;non-literal;3;'kool olema pitslinik ja toataim tõukama poiss eemale';eemale;tõukama;non-literal;5.13;7.31;7.25;7.25;nom;nom;yes;no;0;9258;4235;221
72;literal;0;'see negatiivne laeng tõukama metall korrapäratult sagiv vaba elektron ise eemale';eemale;tõukama;non-literal;3.33;5.59;4.11;4.2;nom;part;no;no;el;9258;4235;221
73;non-literal;3;'ortodoksi kirik võtma ise õigus viimane eemale tõukama';eemale;tõukama;non-literal;3.35;3.5;0;2.45;nosubj;nom;yes;0;0;9258;4235;221
75;non-literal;3;'kunagi tegema valik kreekakatolik usu kasu tõukama venemaa sajand eemale euroopa';eemale;tõukama;non-literal;2.46;2.16;1.6;2.91;nom;gen;yes;no;el;9258;4235;221
76;literal;0;'juri püüdma tundmatu eemale tõukama kuid too lööma tema nuga süda piirkond';eemale;tõukama;non-literal;4.24;5.15;5.91;1.33;nom;part;yes;yes;0;9258;4235;221
77;non-literal;3;'too alatamiralas käemärk pigem tõukama eemale kui kutsuma';eemale;tõukama;non-literal;2.4;2.12;2.29;0;nom;noobj;0;no;0;9258;4235;221
78;non-literal;5;'sotsialism ja rahvussotialism tükkima ehitus ikka esile';esile;tükkima;non-literal;2.53;3.25;1.62;0;nom;noobj;0;no;ad;16866;534;37
79;non-literal;4;'jäme võre kaetud õhuava autonina ei tükkima küll esile';esile;tükkima;non-literal;4.01;7;6.68;0;nom;noobj;0;no;in;16866;534;37
80;non-literal;4;'tavaliselt jälgima mina ikka film kuigi muusika võima vahel esile tükkima';esile;tükkima;non-literal;2.54;7.06;6.89;0;nom;noobj;0;no;0;16866;534;37
81;non-literal;4;'paraku ei tükkima hea maitse esile sugugi iga pool';esile;tükkima;non-literal;2.54;4.43;4.43;0;nom;noobj;0;no;ad;16866;534;37
82;non-literal;3.33;'b-tüüp inimene ei paistma ka silm sest tema ise ei tükkima esile';esile;tükkima;non-literal;2.69;4.87;3.27;0;nom;noobj;0;yes;0;16866;534;37
83;non-literal;3.33;'lugu edenema tükkima tema järjest lärmakamalt mikrofon ja kaamera esile';esile;tükkima;non-literal;3.76;7.31;3.27;0;nom;noobj;0;yes;0;16866;534;37
84;non-literal;3.33;'draamateater oma isikupära iga lavastus esile tükkima mees olema nüüd lava kaduma';esile;tükkima;non-literal;3.68;6.42;7.31;0;nom;noobj;0;yes;in;16866;534;37
85;non-literal;4;'tema tulemus tükkima teine seas võimsalt esile';esile;tükkima;non-literal;2.53;2.02;2.02;0;nom;noobj;0;no;in;16866;534;37
86;non-literal;3.33;'naina ei olema kunagi esile tükkima vaid jääma meeldivalt tagaplaan';esile;tükkima;non-literal;1.92;3.29;4.98;0;nom;noobj;0;yes;0;16866;534;37
87;non-literal;3.33;'ometi ei tükkima tshubais klubi esile';esile;tükkima;non-literal;2.79;5.48;4.16;0;nom;noobj;0;yes;in;16866;534;37
88;literal;2;'olema tegus inimene kes valmistama ette polster kus ülemnõukogu esimees olema hää hõljuma';ette;valmistama;non-literal;2.83;4.69;1.42;2.61;nom;nom;no;yes;0;124146;37377;10929
89;non-literal;4;'röövkallaletung inkassor 29 september olema hoolikalt ette valmistama';ette;valmistama;non-literal;3.32;5.2;0;4.64;nosubj;nom;no;0;0;124146;37377;10929
90;non-literal;3.67;'agentuur tegevus olema eesti ette valmistama';ette;valmistama;non-literal;2.7;3.71;0;2.87;nosubj;nom;no;0;0;124146;37377;10929
91;non-literal;3.67;'piir kaotamine pooldama eelnõu ette valmistama eelmine haridusminister tõnis lukas';ette;valmistama;non-literal;3.69;4.93;0;4.1;nosubj;gen;no;0;0;124146;37377;10929
92;non-literal;3.67;'tsahkna sõna pidama elamumajandusamet kahe nädal jooksul ette valmistama juriidiline alus võõrandamisprotsess algatamine';ette;valmistama;non-literal;3.15;3.82;4.54;1.66;nom;gen;no;no;0;124146;37377;10929
93;non-literal;4.33;'pikk afganistan sõda naftahind järsk langus tehnoloogiline mahajäämus jms valmistama ette kogu nõukogu impeerium kokkuvarisemine';ette;valmistama;non-literal;2.83;3.1;3.28;2.61;nom;part;no;no;0;124146;37377;10929
94;non-literal;3.67;'eesti hoiupank valmistama ette oma vara kindlustamine tellimus';ette;valmistama;non-literal;3.1;3.88;6.58;4.46;nom;part;no;yes;0;124146;37377;10929
95;non-literal;3.67;'alates august valmistama 44-meheline estpla-5 ette taani';ette;valmistama;non-literal;3.73;5.85;0;6.86;nosubj;part;yes;0;0;124146;37377;10929
96;non-literal;4.33;'selguma et see puhk valmistama tüdruk ette';ette;valmistama;non-literal;2.52;4.35;0;7.36;nosubj;part;yes;0;0;124146;37377;10929
97;non-literal;4;'valgamaa tantsijatevägi olema grupeeruma kolm ja iga piirkond tantsija olema ette valmistama oma kava';ette;valmistama;non-literal;3.53;5.94;8.16;3.4;nom;gen;no;yes;0;124146;37377;10929
98;non-literal;4;'välisministeerium asuma ette valmistama dokument et saama vajalik raha valitsus reservfond';ette;valmistama;non-literal;3.42;5.62;5.73;7.45;nom;part;no;yes;0;124146;37377;10929
99;non-literal;5;'schumacher võima ette heitma kohati liiga mustvalge lähenemine';ette;heitma;non-literal;3.51;4.77;0;2.01;nosubj;part;no;0;all;124146;18862;5638
100;non-literal;5;'peaminister sõna ei heitma parts kabinetinõudpidamine ette sekkumine poliitika';ette;heitma;non-literal;3.52;4.09;0;2.51;nosubj;part;no;0;all;124146;18862;5638
101;non-literal;5;'vastupidavus poolest hoidma rav 4 toyota lipp kõrge varustus olema miski ette heitma';ette;heitma;non-literal;3.52;5.87;0;1.41;nosubj;part;no;0;all;124146;18862;5638
102;non-literal;5;'direktor sõna heitma tema veel ette et tema olema laskma raamatupidaja järelevalve tegema';ette;heitma;non-literal;3.35;5.35;0;0;nosubj;noobj;0;0;all;124146;18862;5638
103;non-literal;5;'tuhatkond kaupmees heitma pank ette maksmine liigne keerukus ning vilets reklaam';ette;heitma;non-literal;3.45;4.13;3.46;1.48;nom;nom;no;yes;all;124146;18862;5638
104;non-literal;5;'sageli olema tehing formaalõiguslikult täiesti korrektne tema ei saama miski ette heitma';ette;heitma;non-literal;1.98;2.66;0;1.41;nosubj;part;no;0;all;124146;18862;5638
105;non-literal;5;'kommunist heitma boriss jeltsin ette riigireetmine ja veel neli surmapatt';ette;heitma;non-literal;3.58;3.91;3.58;1.52;nom;part;no;yes;all;124146;18862;5638
106;non-literal;5;'ja kui üks olema teine mõnikord miski ette heitma siis ei pidama see ju riidlema';ette;heitma;non-literal;2.25;0;0;1.41;nosubj;part;no;0;all;124146;18862;5638
107;non-literal;5;'sõprus olema mõnikord ette heitma temperamentne tants et ega see vana eestlane nii särtsakas olema';ette;heitma;non-literal;2.51;5.01;0;7.21;nosubj;part;no;0;all;124146;18862;5638
108;non-literal;5;'keegi ei heitma pärast keegi miski ette';ette;heitma;non-literal;3.1;0;5.03;1.41;nom;part;no;yes;all;124146;18862;5638
109;non-literal;3;'tema võima ette lugema turuhind ja varastama auto number';ette;lugema;non-literal;4.23;6.95;3.27;3.38;nom;part;no;yes;0;124146;71800;2791
110;non-literal;3;'seejärel vastama 70-aastane plavsic sõna iga süüdistuspunkt mis kohtunik richard may ette lugema';ette;lugema;non-literal;3.88;5.16;7.09;1.14;nom;nom;no;yes;0;124146;71800;2791
111;non-literal;4;'võima ette lugema küll kümmekond nimi kes paaris koht vilksatama';ette;lugema;non-literal;3.53;5.08;1.91;5.18;nom;nom;no;yes;0;124146;71800;2791
112;non-literal;3;'mina meeldima kui sina lugema mina ette marcel proust';ette;lugema;non-literal;2.73;4.62;3.02;3.33;nom;part;no;yes;all;124146;71800;2791
113;non-literal;3;'kirjutama üks irooniline jõulujutt mis sina kohe ka ette lugema';ette;lugema;non-literal;3.32;6.53;1.91;1.14;nom;gen;no;yes;all;124146;71800;2791
114;non-literal;3;'mina ei soovima jätkama reformierakond kujundatud ebaeetline õhkkond lugema lauristin ette avaldus';ette;lugema;non-literal;2.54;3.76;5.62;3.39;nom;gen;no;yes;0;124146;71800;2791
115;non-literal;3;'õpetaja pidama hakkama mõistma et tema olema vaja õpilane raamatus kõik ette lugema';ette;lugema;non-literal;3.42;7.47;7.38;2.09;nom;part;no;yes;all;124146;71800;2791
116;non-literal;3;'tanel pidama ajaleht artikkel ette lugema õigesti intonatsioon kasutama ja paus pidama';ette;lugema;non-literal;3.08;4.7;4.95;6.53;nom;gen;no;yes;0;124146;71800;2791
117;non-literal;3;'võima olema isegi lugema tema see ette ja õpetama mis asi see euroopa liit olema';ette;lugema;non-literal;2.25;3.09;0;2.13;nosubj;part;no;0;all;124146;71800;2791
118;non-literal;3;'kapten vaino kõva lugema ette piirivalveamet peadirektor kolonel roland peets läkitus';ette;lugema;non-literal;5.21;5.62;7.16;3.22;nom;gen;no;yes;0;124146;71800;2791
119;non-literal;5;'esiteks kandma mina riigikogu väliskomisjon esimees ette mitte isiklikult ise vaid fraktsioon ühine järeldus';ette;lugema;non-literal;3.15;4.87;1.91;2.07;nom;gen;no;yes;0;124146;71800;2791
120;non-literal;5;'tema käest jooksma läbi kõik paber tema kandma ette kõik mis võima olla tähtis';ette;kandma;non-literal;2.97;9.14;0;0;nosubj;noobj;0;0;all;124146;69824;2222
121;non-literal;5;'kõik ei olema siiski päris nii nagu sina härra president olema ette kandma';ette;kandma;non-literal;2.33;6.23;0;0;nosubj;noobj;0;0;all;124146;69824;2222
122;non-literal;5;'õhtu kell 17 kandma ugala ette festival lasteprojekt claudio monteverdi orpehus';ette;kandma;non-literal;5.3;6.11;0;5.88;nosubj;nom;no;0;0;124146;69824;2222
123;non-literal;5;'maailm noortekoor kandma 8-9 august eesti kontsert saal ette verdi reekviem';ette;kandma;non-literal;5.09;5.71;4.17;5.08;nom;gen;no;yes;0;124146;69824;2222
124;non-literal;5;'komitee kandma oma tegevus kongress ette';ette;kandma;non-literal;3.88;5.21;6.66;0;nom;noobj;0;yes;all;124146;69824;2222
125;non-literal;5;'rahandusminister siim kallas valitsusliit ette kandma kolm aasta maksustrateegia olema tunnustus vääriv dokument';ette;kandma;non-literal;4.24;5.03;0;0;nosubj;noobj;0;0;all;124146;69824;2222
126;non-literal;5;'ivan mikuliÄ‡ rõhutama oma muusikalilaulja karjäär kandma ette palake rokk-ooper jesus christ superstar';ette;kandma;non-literal;4.52;5.62;4.86;7.81;nom;gen;no;yes;0;124146;69824;2222
127;literal;1.67;'meie noorem siis kandma tema toit ette';ette;kandma;non-literal;3.17;6.83;1.91;6.83;nom;part;no;yes;all;124146;69824;2222
128;non-literal;3;'ilves pidama oluline et ukraina ei ootama et miski kandik ette kandma';ette;kandma;non-literal;2.93;6.8;0;1.41;nosubj;part;no;0;0;124146;69824;2222
129;literal;2;'süüdlane käituma stereotüüpselt matma tema kael saadik liiv sisse ja kandma tema ette kandik kaupa ahvatlus';ette;kandma;non-literal;4.09;6.39;1.91;1.86;nom;part;no;yes;all;124146;69824;2222
130;non-literal;5;'kuid kaasaegne kirjandus tutvustamine olema kõik kirjastus silm ette andma õhtuleht';ette;andma;non-literal;3.14;4.53;4.84;5.24;nom;nom;no;no;0;124146;363473;2177
131;non-literal;3.33;'vesi puhtus olema kaks kriteerium üks koosnema lubama näitaja ja teine olema euroopa poolt ette andma kriteerium';ette;andma;non-literal;3.19;3.8;0;0;nosubj;noobj;0;0;0;124146;363473;2177
132;literal;1.67;'tänapäev arhitekt panema maja kokku nagu legomäng see tähendama et tema olema ette andma odav jublakas mis pidama ehitama võimalikult kõrge maja';ette;andma;non-literal;3.09;6.78;0;8.2;nosubj;nom;no;0;0;124146;363473;2177
133;literal;0.67;'talunik olema sundima loom juba praegu hein ette andma';ette;andma;non-literal;3.32;7.53;7.38;8.52;nom;part;no;yes;all;124146;363473;2177
134;literal;0.67;'tema panema tund aeg tühi ruum andma suur paber ette ja käskima suur lenin portree tegema';ette;andma;non-literal;3.88;6.32;0;9.14;nosubj;nom;no;0;0;124146;363473;2177
135;non-literal;3.33;'teisalt andma sasha ka koerograafia päris palju ette ja ülesanne olema suhteliselt konkreetne';ette;andma;non-literal;2.39;4.4;4.8;5.64;nom;part;no;yes;0;124146;363473;2177
136;literal;1.67;'poliitik hinnatavus ja tuntus puhul olema vastaja ette andma 40 tipp-poliitik nimi';ette;andma;non-literal;3.05;3.97;0;5.22;nosubj;nom;no;0;all;124146;363473;2177
137;non-literal;5;'enamik lääs täht andma tema oma professionaalsus elegants ja võimsus silm ette';ette;andma;non-literal;2.79;3.46;3.27;5.24;nom;nom;no;yes;all;124146;363473;2177
138;literal;1.33;'pereema andma söök ette tema olema kokatädi';ette;andma;non-literal;4.29;7.53;7.41;7.23;nom;gen;no;yes;0;124146;363473;2177
139;non-literal;3;'kleit andma ette ja võistleja pidama sobiv kimp juurde meisterdama';ette;andma;non-literal;3.59;7.33;0;8.44;nosubj;nom;no;0;0;124146;363473;2177
141;non-literal;3.67;'kui areng olema ette jõudma veel vastuvõtmata seadus siis tulema küsima kus viibima see aeg see kes see kokku kirjutama';ette;jõudma;non-literal;2.19;2.93;2.31;0;nom;noobj;0;no;el;124146;182398;1671
142;non-literal;3.67;'see suhtes olema läti ja leedu mina ette jõudma sest mõlema olema loovisik garantii puudutav seadus juba olema';ette;jõudma;non-literal;2.19;3.22;3.99;0;nom;noobj;0;yes;el;124146;182398;1671
145;non-literal;3.67;'tartu linnavolikogu keelama sigarett reklaamimine avalik koht eelmine aasta mai jõudma see ette riigikogu tänavu vastu võetud reklaamiseadus';ette;jõudma;non-literal;3.67;4.93;3.45;0;nom;noobj;0;yes;el;124146;182398;1671
147;non-literal;3.67;'kas klaus viimane päev üldse õnnestuma oma analüüsiv dokument kokku seadma või jõudma sündmus tema ette?';ette;jõudma;non-literal;3.26;5.38;2.76;0;nom;noobj;0;no;el;124146;182398;1671
150;non-literal;4.67;'olema puu ette tegema et venelane ei saama järgi andma';ette;tegema;non-literal;2.47;6.22;1.91;0;nom;noobj;0;yes;0;124146;650696;1594
151;non-literal;3.33;'eskiis tegema küll algul ette';ette;tegema;non-literal;2.47;6.85;1.91;6.85;nom;gen;no;yes;0;124146;650696;1594
152;non-literal;3.67;'kui mõni klass see päev ajalootund ei olema tegema tund ette';ette;tegema;non-literal;2.78;4.72;0;4.14;nosubj;nom;no;0;0;124146;650696;1594
153;non-literal;4.67;'kui putin ja fradkov otsekohe aru ei saama tegema tema kas või lepapuu ette et eesti ei sõlmima venemaa mitte mingisugune piirileping';ette;tegema;non-literal;2.61;4.03;0;0;nosubj;noobj;0;0;all;124146;650696;1594
154;non-literal;3.33;'plaan tegema pikalt ette see sundima mina poliitik tegema ka üks valimisperiood veidi pikemaajalisem kava';ette;tegema;non-literal;2.84;4.36;0;2.96;nosubj;nom;no;0;0;124146;650696;1594
155;non-literal;3.33;'saatelõik tegema päev ette ning tema ei kajastama alati kõige aktuaalsem leht esikülg kirjutatav';ette;tegema;non-literal;2.95;5.95;0;4.46;nosubj;part;no;0;0;124146;650696;1594
157;non-literal;3.67;'siiani olema väli kõige privaatsem kogemus koos carmen electra tema tegema telekas ette ja väli elutuba järele';ette;tegema;non-literal;4.01;6.76;3.27;0;nom;noobj;0;yes;0;124146;650696;1594
158;non-literal;5;'suhkruhaige panema lausa palat pikali maha ja tegema puu ja punane ette kuidas ise süstima ja mis sööma';ette;tegema;non-literal;3.85;7.82;0;0;nosubj;noobj;0;0;0;124146;650696;1594
159;non-literal;3;'lisa teatama et partner olema nõus ette maksma 19 miljon dollar väärtus soodushind kõneminut';ette;maksma;non-literal;3.06;4.74;4.8;6.2;nom;part;no;yes;0;124146;166250;642
160;non-literal;3.33;'osaliselt maksma raha ette aprill-mai';ette;maksma;non-literal;3;7.52;0;7.52;nosubj;nom;no;0;0;124146;166250;642
161;non-literal;3.33;'üritama see kõrvale libisema võimalikult palju ette maksma';ette;maksma;non-literal;2.23;0;1.91;0;nom;noobj;0;yes;0;124146;166250;642
162;non-literal;3.33;'sõidutoetus võima maksma nii ette avanss kui tagantjärele';ette;maksma;non-literal;1.45;2.58;0;2.24;nosubj;part;no;0;0;124146;166250;642
163;non-literal;3.33;'1996 aasta lõpp sõlmima pirita linnaosa valitsus viis leping kokku 1.3 miljon eest maksma raha ette';ette;maksma;non-literal;3.53;4.42;3.82;7.52;nom;gen;no;yes;0;124146;166250;642
